Problem_Summary,Resolution
There was a chargeoff reversal which generated an interest amount. There was also a payment on the same day which generated T, Integrated the chargeoff and payment data records
Total amount due in S does not match stament S. Do not try to fix this until we confirm it'd still an issue after the redesign project. Validation in progress, Validated the data records and it is no longer an issue after redesigning the project
Statement posted for incorrect amount. F is also incorrect. Was not fixedin release. The system is creating funds applied to principal transactions for the wrong dollar amounts when a line if credit comes out of non-accural and the amount exceeds the loan balance. Vendor could recreate but out custom code is interfering,Ticket Moved to Research as this is occuring once in a long time. Synced the data records for now.
Can you please take a look at accounts. The A's were run and both were reversed. Neither A's show void.," according to the Business Standard Procedure, synced the data of accounts"
Account has two Bs that posted to the account with only one A. Normally when this happens one of the B's will reject and not post to the account. Do you know why this happened?," according to the Business Standard Procedure, synced the data of accounts"
S transactions are incorrect since date causing out of balance conditions in payment suspense., Fixed data according to payment suspense
Payoffs are rejecting and chargeoffs are rejecting due to gap not included in the batch payoff amount. Transaction amount not equal payoff for effective datte. Note that ticket that went in release was for a similar issue,Ticket Moved to Research as this is occuring once in a long time. Synced the data records for now.
Receive error when click opoen dashboard from the oppurtunity on this account. Error not received when accessing account through search function. See attached for account details.,Ticket will be tracked to observe changes in account details
Team has decided that a limit on the number of apps that can be retrieved from archive in one overnight batch because in one or two day time period the user requested thounsands of apps, No longer an issue as it is a rare case
Multiple accounts are not displayed in the related accounts section of dashboard screen. Accounts aredisplayed in both home and tent,Ticket will be tracked to observe changes in account details
"Sat table date does not work when entering a new code that you want to date in the further. For example adding a code on date and making the effective datte as date, I am still able to use the code immediately. Team should not allow the code to be used until date. Discussed with team member and he provided logic and confirmed it does not work as we would expect it to work. See attached email.", Software Installed as per request 
"System returns results where referral conditions are not met when filtering based on all conditions met not finalized on the locate documents. Transactions,events and letters search screen",Ticket will be tracked to observe changes in account details
T transactions are causing differences in accounts. This is most often the amount but if the account had no amount then the interest amount is causing the difference and in a few cases it was both fields.,Ticket Moved to Research as this is occuring once in a long time. Synced the data records for now.
Issue with account. Account has seven months to end of day and negative balance. Currently a negative balance. The system is not allowing me to model with added money. Receiving error,Ticket will be tracked to observe changes in account details
Time stamp on locate does not displaythe correct time. Go to locate and observe the time stamp for this transaction,Ticket will be tracked to observe changes in account details
Utilization referral did not claim as success even though utilization occurred within claiming window,Ticket will be tracked to observe changes in account details
Counter offered not being displayed for applications, Software Installed as per request 
Stand alone floor rate S transactions were processed and the interest rate adjustment rejected because it was below the prior floor rate. System is supposed to be updating he floor ate first before the interest rate so that te interest rate transaction does not reject,Ticket will be tracked to observe changes in account details
Direct auto comments removed from the contract issue notification screen are displaying in the application history, Code Modified to stop displaying the auto comments from he application history
System is blocking referral creation for account indication the rate is higher than the market rate when the rate is actually less than the market rate. This occurs sporadically but was re-created multiple times. Sometimes getting the error. Sometimes not getting the error,Ticket will be tracked to observe changes in account details
End of draw disposition code. Account had balance on parent at time of end of draw but had active cild. Account did not get final end of day letter not did the account go through repayment changing to the type. Additional end of day codes beside which have been identified have example in we also and need to ensure not same issue with population,Ticket Moved to Research as this is occuring once in a long time. Synced the data records for now.
When filtering them main task queue by received date the filtered results show a received date that is day later. This is only happening with accounts received date in september or october. The filtered results still show the correct received date.,Ticket will be tracked to observe changes in account details
Site is experiencing network slowness. This is an ongoing issue,Ticket closed- Hardware Installed accordingly
It appears photocopy request claims under amount and claims processed during the nightly accounting entry cut off window including weekends and holidays. Do not include an audit trail marking sowing which letter was generated to the customer., Code Modified to avoid the processing of request during weekends and holidays
We reversed and reapplied a payment to allocate to the march payment in conjunction. The system closed the march bucket rather than leaving I open and listing as partial. The functionality was changed in release with project for accounts where A payment received that is within the payment ninety percent payment is going to be considered as paid in full marking the billing bucket as paid and will not generate a partial payment. We disagree with the changes made and need the functionality reversed back,Ticket Moved to Research as this is occuring once in a long time. Synced the data records for now.
Capital Markets clarity project tracking account locked,Ticket Closed -account unlocked
Account is not reflecting data is setup when in fact is. See screenshot for example,Ticket will be tracked to observe changes in account details
Letter Request, Letter Added
The transaction code should trigger the billing buckets. Also need to validate if the buckets really should be populating with the amount that would have been due.This issue are not duplicate because data are in different programs. Issue is with regular billing buckets where the data is the billing records., No longer an issue
Did not cycle properly. Coount did not produce bill bucket or statement for due dates. Accounts shouls have cycled on dates. Account transaction history attached, No longer an issue
Fees are not displaying correctly on the report. This does not impact credit reporting, No longer an issue
Addition of letters to category bankruptcy, Letter Added
"Questionnaire issue. The issue that we discuused yesterday was caused by the messed up sequence number. Apparently when deleting the question it goes to extract the question from the question hierarchy in the section to find it. Since the sequence numbers have all been messed up, it found totally different question with the behaviour trigger confused.",No good fix found yet. Corrected the sequence numbers in the questionnaire for now.
Letter Request. Please have letter updated, Letter Added
We are continuously observing exception which is causing errors in the business transactions. The counts are very high., No longer an issue
For home equity applications results not showing banker name for home equity, Software Installed as per request 
Not able to update an agreement, Software Installed as per request 
Utilization referrals are not claiming as success even though utilization occurred within alaiming window,Ticket will be tracked to observe changes in account details
Create Synonym. Once synonyms are created need to do data fix, Ran script to sync the data
Existing letter needs to be updated. Combine prime and non-prime templates into one by creating a variable field for the online sit and phone number based on product type, Letter Added
Transactions rejected for effective date greater than cycle date nut actually posted and created entries, No longer an issue
Ticket to move in code fix that is to coincide maintainance request that return eror code with bureau returning are appearing instead of loading, Code Modified to return the error code of the maintainance request
"False exception application and exception are different. Application number,details of percent and screenshot attached as well as old ticket number that already that has research", Removed the false exception
Need to get a product added to available list of products, No longer an issue
Better understand data. Imported the same file in different days, Synced the data to have the same timestamp
When policy is invoked to create an account he user id format is in the format for a non-pevileged account, Code Modified to change format to previleged account
When documents printt the letter spacing is not printing correclty. See attached example document. At this point this issue is only happening in the field in on the document screen, Code Modified to correct the letter spacing in document screen
Capital Markets clarity not working. But java was installed to help but still not working, No longer an issue
Require OS Assistance to address OS Risk Compliance information request., Security Changed for compliance
Please update the existing letter. This is batch by process. English and spanish templates were combined to print together. Prime and non-prime have also been combined with variable based on product type., Letter Added
Please create new letter. Both letters will be batch. I've attached the letter change request form., Letter Added
After auto retry for failed requests was added. The request ids were dropped from requests in open tasks, Code Modified to retain request ids even if request fails.
Scheduled Job, Job Restarted
Job Failure, No longer an issue
Please grant access. Please see attached form. , Access provided accordingly
